Time (CAT);Open;High;Low;Close;Volume 
31/12/2012 00:00:00;1.61733;1.62734;1.61333;1.62465;103670.45
01/01/2013 00:00:00;1.62445;1.62563;1.62357;1.62377;140.1
02/01/2013 00:00:00;1.62482;1.63823;1.62245;1.62546;152018.33
03/01/2013 00:00:00;1.62547;1.62558;1.60912;1.6106;137132.98
04/01/2013 00:00:00;1.61062;1.61078;1.60092;1.60678;149654.71
07/01/2013 00:00:00;1.60709;1.61171;1.602;1.61143;134865.59
08/01/2013 00:00:00;1.61143;1.6128;1.60283;1.60549;135942.93
09/01/2013 00:00:00;1.60549;1.60747;1.5992;1.60214;145353.74
10/01/2013 00:00:00;1.60214;1.61678;1.60035;1.61674;163014.93
11/01/2013 00:00:00;1.61674;1.61766;1.60885;1.61323;153813.06
14/01/2013 00:00:00;1.61302;1.6154;1.6031;1.60743;145333.32
15/01/2013 00:00:00;1.60745;1.61003;1.60326;1.60633;163962.56
16/01/2013 00:00:00;1.60639;1.608;1.59753;1.60048;163473.57
17/01/2013 00:00:00;1.60052;1.60386;1.59548;1.5992;156334.96
18/01/2013 00:00:00;1.59921;1.60061;1.58536;1.58638;172383.51
21/01/2013 00:00:00;1.58481;1.58929;1.5805;1.58272;96965.17
22/01/2013 00:00:00;1.5829;1.58831;1.58092;1.58375;171433.01
23/01/2013 00:00:00;1.58377;1.58918;1.58017;1.58449;158479.94
24/01/2013 00:00:00;1.58445;1.58509;1.57559;1.57891;164311.54
25/01/2013 00:00:00;1.57891;1.58267;1.57455;1.57998;174084.64
28/01/2013 00:00:00;1.57605;1.57848;1.56738;1.56941;153903.81
29/01/2013 00:00:00;1.56942;1.57729;1.56843;1.57621;150224.7
30/01/2013 00:00:00;1.5762;1.5816;1.57245;1.57987;155693.17
31/01/2013 00:00:00;1.57985;1.58744;1.57747;1.58557;151805.97
01/02/2013 00:00:00;1.58557;1.5878;1.5689;1.5691;180360.25
04/02/2013 00:00:00;1.56908;1.57715;1.5689;1.57604;137458.27
05/02/2013 00:00:00;1.57606;1.5804;1.563;1.56581;172422.7
06/02/2013 00:00:00;1.56582;1.56776;1.56311;1.56587;155440.24
07/02/2013 00:00:00;1.56582;1.57681;1.56449;1.57158;185570.57
08/02/2013 00:00:00;1.57157;1.58441;1.57046;1.58005;159781.94
11/02/2013 00:00:00;1.57924;1.58096;1.56523;1.56575;134071.11
12/02/2013 00:00:00;1.56575;1.567;1.55714;1.56616;156227.06
13/02/2013 00:00:00;1.56615;1.56883;1.55231;1.5541;158222.93
14/02/2013 00:00:00;1.55405;1.55422;1.54744;1.54942;150493.79
15/02/2013 00:00:00;1.54942;1.55499;1.54606;1.55162;172119.72
18/02/2013 00:00:00;1.55037;1.55082;1.5437;1.54648;119871.62
19/02/2013 00:00:00;1.54651;1.55037;1.54135;1.54247;130506.67
20/02/2013 00:00:00;1.54247;1.54504;1.51922;1.5233;161046.99
