Data,Abertura,Máxima,Mínima,Fechamento,BOP,VOL,Compradores,Vendedores,Saldo
2021-07-23,5203.5,5236.5,5163.0,5203.5,0.0,57678382950.0,95580,-97285,-1705
2021-07-22,5186.5,5229.5,5173.5,5205.5,0.3393,49818645350.0,86065,-84660,1405
2021-07-21,5238.0,5283.5,5187.0,5194.5,-0.4508,80435484100.0,119365,-129670,-10305
2021-07-20,5250.0,5301.0,5208.5,5228.0,-0.2378,70465891750.0,110000,-117505,-7505
2021-07-19,5168.5,5265.5,5159.5,5259.0,0.8538,76815815250.0,128115,-123845,4270
2021-07-16,5113.5,5135.0,5081.0,5120.5,0.1296,56874279000.0,98750,-97705,1045
2021-07-15,5092.0,5147.0,5062.5,5123.0,0.3669,64609159850.0,112055,-104745,7310
2021-07-14,5148.5,5167.5,5076.5,5081.0,-0.7418,67094708100.0,115865,-119545,-3680
2021-07-13,5188.5,5233.0,5159.0,5174.5,-0.1892,77054697750.0,127545,-127395,150
2021-07-12,5270.5,5296.5,5175.0,5183.5,-0.716,70965956100.0,108070,-111830,-3760
2021-07-08,5285.0,5327.0,5232.0,5271.0,-0.1474,85458029850.0,128845,-131890,-3045
2021-07-07,5193.0,5295.0,5183.5,5246.0,0.4753,87339848500.0,130705,-126680,4025
2021-07-06,5100.0,5231.5,5090.0,5211.5,0.788,85275572850.0,140985,-130905,10080
2021-07-05,5061.5,5114.5,5060.0,5106.0,0.8165,28430805500.0,48285,-45090,3195
2021-07-02,5055.0,5088.5,5002.0,5072.0,0.1965,74633338350.0,116200,-113360,2840
2021-07-01,4985.0,5071.5,4962.5,5064.5,0.7294,81316757500.0,126235,-126040,195
2021-06-30,4975.0,5039.5,4968.5,4986.0,0.1549,92332335350.0,142335,-130260,12075
2021-06-29,4961.4726,4986.0442,4936.3994,4970.4989,0.1818,61871337177.6749,87070,-83855,3215
2021-06-28,4964.4814,4988.5516,4933.8921,4939.4082,-0.4587,53982101091.4078,88100,-92425,-4325
