Data,Fechamento
2021-06-29,127775
2021-06-29,127860
2021-06-29,127845
2021-06-29,127840
2021-06-29,127840
2021-06-29,127870
2021-06-29,127840
2021-06-29,127890
2021-06-29,127850
2021-06-29,127845
2021-06-29,127835
2021-06-29,127870
2021-06-29,127890
2021-06-29,127820
2021-06-29,127815
2021-06-29,127825
2021-06-29,127800
2021-06-29,127780
2021-06-29,127810
2021-06-29,127795
2021-06-29,127840
2021-06-29,127835
2021-06-29,127800
2021-06-29,127785
2021-06-29,127800
2021-06-29,127815
2021-06-29,127830
2021-06-29,127830
2021-06-29,127810
2021-06-29,127815
2021-06-29,127815
2021-06-29,127760
2021-06-29,127815
2021-06-29,127830
2021-06-29,127835
2021-06-29,127815
2021-06-29,127855
2021-06-29,127845
2021-06-29,127830
2021-06-29,127890
2021-06-29,127930
2021-06-29,127930
2021-06-29,127970
2021-06-29,127945
2021-06-29,127950
2021-06-29,127965
2021-06-29,127945
2021-06-29,127930
2021-06-29,127940
2021-06-29,127880
2021-06-29,127860
2021-06-29,127870
2021-06-29,127880
2021-06-29,127870
2021-06-29,127855
2021-06-29,127840
2021-06-29,127875
2021-06-29,127870
2021-06-29,127890
2021-06-29,127870
2021-06-29,127850
2021-06-29,127820
2021-06-29,127835
2021-06-29,127845
2021-06-29,127800
2021-06-29,127785
2021-06-29,127720
2021-06-29,127735
2021-06-29,127725
2021-06-29,127780
2021-06-29,127790
2021-06-29,127805
2021-06-29,127780
2021-06-29,127750
2021-06-29,127750
2021-06-29,127795
2021-06-29,127730
2021-06-29,127735
2021-06-29,127750
2021-06-29,127810
2021-06-29,127790
2021-06-29,127775
2021-06-29,127810
2021-06-29,127780
2021-06-29,127705
2021-06-29,127675
2021-06-29,127645
2021-06-29,127620
2021-06-29,127640
2021-06-29,127690
2021-06-29,127710
2021-06-29,127690
2021-06-29,127665
2021-06-29,127680
2021-06-29,127695
2021-06-29,127700
2021-06-29,127725
2021-06-29,127685
2021-06-29,127675
2021-06-29,127690
2021-06-29,127695
2021-06-29,127735
2021-06-29,127725
2021-06-29,127635
2021-06-29,127635
2021-06-29,127680
2021-06-29,127630
2021-06-29,127630
2021-06-29,127630
2021-06-29,127660
2021-06-29,127695
2021-06-29,127760
2021-06-29,127790
2021-06-29,127595
2021-06-29,127610
2021-06-29,127665
2021-06-29,127670
2021-06-29,127685
