Data,Fechamento
2021-07-08,125700
2021-07-08,125725
2021-07-08,125790
2021-07-08,125800
2021-07-08,125795
2021-07-08,125785
2021-07-08,125860
2021-07-08,125840
2021-07-08,125805
2021-07-08,125825
2021-07-08,125805
2021-07-08,125805
2021-07-08,125850
2021-07-08,125805
2021-07-08,125805
2021-07-08,125835
2021-07-08,125835
2021-07-08,125830
2021-07-08,125810
2021-07-08,125790
2021-07-08,125800
2021-07-08,125870
2021-07-08,125835
2021-07-08,125815
2021-07-08,125830
2021-07-08,125785
2021-07-08,125835
2021-07-08,125820
2021-07-08,125825
2021-07-08,125830
2021-07-08,125775
2021-07-08,125755
2021-07-08,125730
2021-07-08,125805
2021-07-08,125850
2021-07-08,125835
2021-07-08,125875
2021-07-08,125870
2021-07-08,125855
2021-07-08,125840
2021-07-08,125805
2021-07-08,125780
2021-07-08,125765
2021-07-08,125775
2021-07-08,125725
2021-07-08,125695
2021-07-08,125730
2021-07-08,125770
2021-07-08,125740
2021-07-08,125735
2021-07-08,125785
2021-07-08,125785
2021-07-08,125810
2021-07-08,125850
2021-07-08,125875
2021-07-08,125855
2021-07-08,125910
2021-07-08,125785
2021-07-08,125835
2021-07-08,125860
2021-07-08,125875
2021-07-08,125805
2021-07-08,125810
2021-07-08,125750
2021-07-08,125685
2021-07-08,125615
2021-07-08,125590
2021-07-08,125595
2021-07-08,125560
2021-07-08,125605
2021-07-08,125600
2021-07-08,125550
2021-07-08,125545
2021-07-08,125615
2021-07-08,125705
2021-07-08,125695
2021-07-08,125770
2021-07-08,125830
2021-07-08,125845
2021-07-08,125855
2021-07-08,125790
2021-07-08,125735
2021-07-08,125755
2021-07-08,125715
2021-07-08,125775
2021-07-08,125770
2021-07-08,125755
2021-07-08,125750
2021-07-08,125735
2021-07-08,125725
2021-07-08,125705
2021-07-08,125690
2021-07-08,125655
2021-07-08,125635
2021-07-08,125615
2021-07-08,125555
2021-07-08,125455
2021-07-08,125400
2021-07-08,125405
2021-07-08,125390
2021-07-08,125410
2021-07-08,125400
2021-07-08,125445
2021-07-08,125635
2021-07-08,125730
2021-07-08,125710
2021-07-08,125645
2021-07-08,125710
2021-07-08,125750
2021-07-08,125730
2021-07-08,125770
2021-07-08,125805
2021-07-08,125805
2021-07-08,125835
2021-07-08,125810
2021-07-08,125785
2021-07-08,125700
2021-07-08,125700
2021-07-08,125675
2021-07-08,125645
2021-07-08,125595
2021-07-08,125625
2021-07-08,125605
2021-07-08,125645
2021-07-08,125670
2021-07-08,125665
2021-07-08,125755
2021-07-08,125790
2021-07-08,125850
2021-07-08,125825
2021-07-08,125825
2021-07-08,125815
2021-07-08,125835
2021-07-08,125770
2021-07-08,125740
2021-07-08,125755
2021-07-08,125730
2021-07-08,125710
2021-07-08,125700
2021-07-08,125685
2021-07-08,125690
2021-07-08,125645
2021-07-08,125655
2021-07-08,125660
2021-07-08,125580
2021-07-08,125515
2021-07-08,125565
2021-07-08,125570
2021-07-08,125625
2021-07-08,125570
2021-07-08,125520
2021-07-08,125520
2021-07-08,125490
2021-07-08,125480
2021-07-08,125450
2021-07-08,125395
2021-07-08,125360
2021-07-08,125295
2021-07-08,125290
2021-07-08,125360
2021-07-08,125420
2021-07-08,125435
2021-07-08,125460
2021-07-08,125465
2021-07-08,125510
2021-07-08,125520
2021-07-08,125490
2021-07-08,125495
2021-07-08,125485
2021-07-08,125580
2021-07-08,125640
2021-07-08,125615
2021-07-08,125645
2021-07-08,125640
2021-07-08,125685
2021-07-08,125810
2021-07-08,125800
2021-07-08,125780
