Data,Abertura,Máxima,Mínima,Fechamento
2021-07-12,128435,128470,128390,128465
2021-07-12,128400,128475,128385,128435
2021-07-12,128410,128435,128385,128410
2021-07-12,128425,128445,128365,128410
2021-07-12,128195,128425,128195,128425
2021-07-12,128205,128210,128180,128205
2021-07-12,128200,128210,128190,128205
2021-07-12,128210,128210,128195,128195
2021-07-12,128210,128215,128190,128210
2021-07-12,128230,128235,128205,128215
2021-07-12,128220,128240,128215,128235
2021-07-12,128205,128230,128200,128215
2021-07-12,128205,128210,128195,128210
2021-07-12,128195,128210,128190,128205
2021-07-12,128180,128220,128180,128200
2021-07-12,128180,128195,128175,128180
2021-07-12,128170,128190,128160,128175
2021-07-12,128165,128175,128150,128175
2021-07-12,128175,128185,128155,128165
2021-07-12,128190,128200,128170,128180
2021-07-12,128185,128205,128185,128190
2021-07-12,128210,128215,128180,128190
2021-07-12,128225,128230,128200,128215
2021-07-12,128210,128230,128210,128225
2021-07-12,128220,128240,128200,128210
2021-07-12,128185,128245,128180,128225
2021-07-12,128165,128185,128160,128185
2021-07-12,128170,128175,128145,128165
2021-07-12,128195,128200,128165,128175
2021-07-12,128200,128210,128195,128195
2021-07-12,128205,128205,128190,128200
2021-07-12,128195,128205,128190,128205
2021-07-12,128200,128210,128190,128200
2021-07-12,128195,128205,128185,128195
2021-07-12,128175,128195,128170,128195
2021-07-12,128165,128190,128160,128175
2021-07-12,128170,128175,128165,128165
2021-07-12,128180,128185,128160,128170
2021-07-12,128180,128195,128170,128175
2021-07-12,128185,128200,128175,128180
2021-07-12,128180,128215,128165,128185
2021-07-12,128180,128190,128165,128180
2021-07-12,128135,128190,128130,128180
2021-07-12,128130,128135,128115,128135
2021-07-12,128135,128140,128120,128125
2021-07-12,128105,128145,128105,128130
2021-07-12,128100,128120,128090,128110
2021-07-12,128095,128110,128085,128095
2021-07-12,128090,128110,128085,128100
2021-07-12,128085,128100,128080,128085
2021-07-12,128065,128105,128065,128085
2021-07-12,128085,128090,128040,128060
2021-07-12,128105,128105,128080,128080
2021-07-12,128090,128120,128085,128105
2021-07-12,128100,128100,128075,128085
2021-07-12,128085,128110,128080,128100
2021-07-12,128085,128095,128070,128090
2021-07-12,128115,128115,128070,128080
2021-07-12,128095,128115,128090,128115
2021-07-12,128130,128140,128080,128100
2021-07-12,128145,128155,128120,128125
2021-07-12,128150,128165,128135,128150
2021-07-12,128145,128160,128130,128145
2021-07-12,128150,128150,128125,128140
2021-07-12,128150,128195,128135,128150
2021-07-12,128135,128165,128120,128145
2021-07-12,128095,128150,128090,128140
2021-07-12,128095,128105,128090,128095
2021-07-12,128095,128110,128085,128100
2021-07-12,128100,128105,128075,128095
2021-07-12,128100,128105,128085,128105
2021-07-12,128100,128125,128090,128100
2021-07-12,128075,128125,128070,128105
2021-07-12,128075,128075,128055,128075
2021-07-12,128060,128080,128055,128070
2021-07-12,128090,128100,128055,128060
2021-07-12,128090,128130,128080,128090
2021-07-12,128090,128105,128080,128090
2021-07-12,128130,128135,128085,128090
2021-07-12,128155,128170,128130,128130
2021-07-12,128145,128170,128135,128155
2021-07-12,128145,128155,128125,128145
2021-07-12,128175,128180,128145,128150
2021-07-12,128175,128180,128155,128175
2021-07-12,128155,128205,128150,128180
2021-07-12,128155,128175,128145,128155
2021-07-12,128140,128155,128125,128155
2021-07-12,128140,128150,128125,128140
2021-07-12,128135,128150,128130,128140
2021-07-12,128125,128165,128100,128130
2021-07-12,128135,128160,128120,128130
2021-07-12,128180,128190,128115,128135
2021-07-12,128185,128200,128160,128175
2021-07-12,128200,128200,128175,128185
2021-07-12,128185,128205,128170,128200
2021-07-12,128205,128215,128180,128190
2021-07-12,128215,128235,128200,128210
2021-07-12,128225,128245,128210,128220
2021-07-12,128145,128245,128125,128220
2021-07-12,128150,128155,128140,128145
2021-07-12,128160,128180,128150,128150
2021-07-12,128160,128185,128155,128165
2021-07-12,128140,128165,128120,128155
2021-07-12,128135,128150,128125,128145
2021-07-12,128165,128175,128130,128135
2021-07-12,128175,128180,128160,128170
2021-07-12,128115,128190,128110,128175
2021-07-12,128110,128125,128105,128115
2021-07-12,128120,128130,128100,128115
2021-07-12,128140,128150,128110,128125
2021-07-12,128140,128160,128130,128145
2021-07-12,128180,128185,128130,128140
2021-07-12,128180,128200,128170,128180
2021-07-12,128170,128200,128165,128180
2021-07-12,128170,128180,128155,128165
2021-07-12,128175,128190,128160,128165
2021-07-12,128185,128190,128160,128180
2021-07-12,128235,128235,128160,128185
2021-07-12,128230,128240,128225,128230
2021-07-12,128235,128245,128220,128235
2021-07-12,128245,128255,128230,128230
2021-07-12,128245,128255,128235,128240
2021-07-12,128230,128260,128230,128250
2021-07-12,128285,128285,128230,128230
2021-07-12,128310,128310,128275,128285
2021-07-12,128240,128320,128230,128310
2021-07-12,128245,128255,128235,128240
2021-07-12,128230,128245,128220,128245
2021-07-12,128250,128260,128225,128235
2021-07-12,128265,128265,128240,128250
2021-07-12,128270,128280,128240,128260
2021-07-12,128300,128305,128260,128275
2021-07-12,128255,128300,128240,128295
2021-07-12,128245,128260,128240,128250
2021-07-12,128235,128260,128230,128245
2021-07-12,128240,128265,128235,128235
2021-07-12,128245,128265,128240,128240
2021-07-12,128235,128260,128230,128250
2021-07-12,128240,128245,128210,128230
2021-07-12,128240,128270,128220,128240
2021-07-12,128285,128290,128235,128245
2021-07-12,128285,128320,128255,128285
2021-07-12,128255,128305,128250,128285
2021-07-12,128255,128265,128245,128255
2021-07-12,128240,128280,128230,128255
2021-07-12,128245,128260,128225,128245
2021-07-12,128225,128255,128210,128245
2021-07-12,128220,128240,128215,128230
2021-07-12,128205,128240,128200,128220
2021-07-12,128195,128230,128190,128200
2021-07-12,128220,128225,128185,128190
2021-07-12,128235,128240,128220,128220
2021-07-12,128220,128245,128215,128230
2021-07-12,128255,128265,128220,128225
2021-07-12,128175,128290,128170,128260
2021-07-12,128185,128190,128160,128175
2021-07-12,128165,128195,128160,128185
2021-07-12,128155,128190,128150,128165
2021-07-12,128150,128205,128135,128160
2021-07-12,128130,128155,128110,128150
2021-07-12,128135,128155,128120,128130
2021-07-12,128125,128155,128105,128140
2021-07-12,128125,128140,128115,128130
2021-07-12,128145,128165,128115,128125
2021-07-12,128150,128165,128130,128145
2021-07-12,128105,128170,128100,128145
2021-07-12,128095,128105,128070,128105
2021-07-12,128105,128115,128085,128090
2021-07-12,128110,128115,128095,128105
2021-07-12,128105,128130,128100,128110
2021-07-12,128155,128165,128095,128110
2021-07-12,128140,128180,128130,128155
2021-07-12,128135,128150,128130,128140
2021-07-12,128140,128145,128120,128135
2021-07-12,128130,128160,128125,128135
2021-07-12,128150,128165,128120,128135
2021-07-12,128155,128175,128150,128150
2021-07-12,128150,128170,128140,128160
2021-07-12,128170,128180,128140,128145
2021-07-12,128165,128190,128160,128165
2021-07-12,128190,128195,128160,128165
2021-07-12,128165,128195,128165,128195
2021-07-12,128175,128180,128155,128170
2021-07-12,128175,128195,128160,128170
2021-07-12,128170,128230,128155,128170
2021-07-12,128140,128190,128140,128170
2021-07-12,128135,128165,128130,128145
2021-07-12,128160,128175,128130,128135
2021-07-12,128170,128190,128155,128160
2021-07-12,128165,128180,128150,128170
2021-07-12,128185,128195,128165,128165
2021-07-12,128205,128210,128165,128180
2021-07-12,128200,128220,128190,128200
2021-07-12,128145,128220,128140,128195
2021-07-12,128125,128150,128110,128150
2021-07-12,128115,128135,128100,128120
2021-07-12,128095,128150,128090,128115
2021-07-12,128055,128115,128045,128090
2021-07-12,128055,128065,128045,128050
2021-07-12,128010,128070,128010,128055
2021-07-12,128035,128045,128010,128015
2021-07-12,128060,128060,128030,128040
2021-07-12,128025,128070,128020,128060
2021-07-12,128010,128030,128005,128025
2021-07-12,127960,128020,127955,128010
2021-07-12,127955,127985,127950,127960
2021-07-12,127965,127970,127950,127955
2021-07-12,127975,127980,127960,127960
2021-07-12,127990,127995,127960,127980
2021-07-12,128000,128010,127980,127990
2021-07-12,128000,128030,127990,128005
2021-07-12,128000,128010,127985,128005
2021-07-12,127995,128015,127970,128000
2021-07-12,127985,128040,127975,127995
2021-07-12,127985,127995,127970,127990
2021-07-12,127980,128000,127970,127985
2021-07-12,127965,128000,127945,127985
2021-07-12,127960,127985,127930,127965
2021-07-12,127940,128000,127940,127960
2021-07-12,127930,127960,127915,127945
2021-07-12,127930,127945,127920,127930
2021-07-12,127920,127940,127915,127935
2021-07-12,127880,127925,127870,127920
